pc1,pc2,label,model,layer,pc1_var,pc2_var
0.698582,0.05285188,Hallucinated,apertus,4,0.15661083,0.028653715
6.2045493,8.408762,Hallucinated,apertus,4,0.15661083,0.028653715
34.476196,9.095359,Hallucinated,apertus,4,0.15661083,0.028653715
-1.1336207,3.638477,Hallucinated,apertus,4,0.15661083,0.028653715
-60.253616,2.9796488,Hallucinated,apertus,4,0.15661083,0.028653715
-7.067672,-13.654782,Hallucinated,apertus,4,0.15661083,0.028653715
-17.840984,6.3767624,Hallucinated,apertus,4,0.15661083,0.028653715
-14.12861,7.24345,Hallucinated,apertus,4,0.15661083,0.028653715
7.670477,-1.3853427,Hallucinated,apertus,4,0.15661083,0.028653715
-1.5459653,10.855115,Hallucinated,apertus,4,0.15661083,0.028653715
10.23277,2.3114223,Hallucinated,apertus,4,0.15661083,0.028653715
-4.7870297,-5.264098,Hallucinated,apertus,4,0.15661083,0.028653715
-9.074732,3.256404,Hallucinated,apertus,4,0.15661083,0.028653715
9.992016,-7.294956,Hallucinated,apertus,4,0.15661083,0.028653715
-44.578438,-7.377999,Hallucinated,apertus,4,0.15661083,0.028653715
17.04681,4.056128,Hallucinated,apertus,4,0.15661083,0.028653715
-14.411614,-8.295362,Hallucinated,apertus,4,0.15661083,0.028653715
26.661198,-4.5415616,Hallucinated,apertus,4,0.15661083,0.028653715
-3.2010107,-11.907003,Hallucinated,apertus,4,0.15661083,0.028653715
-28.708302,8.734152,Hallucinated,apertus,4,0.15661083,0.028653715
9.126601,-3.3936443,Hallucinated,apertus,4,0.15661083,0.028653715
1.8059927,5.660997,Hallucinated,apertus,4,0.15661083,0.028653715
3.3407502,5.525933,Hallucinated,apertus,4,0.15661083,0.028653715
34.3175,-0.70230573,Hallucinated,apertus,4,0.15661083,0.028653715
18.977497,2.995971,Hallucinated,apertus,4,0.15661083,0.028653715
14.27986,14.551043,Hallucinated,apertus,4,0.15661083,0.028653715
25.934706,6.7721114,Hallucinated,apertus,4,0.15661083,0.028653715
5.0418887,-9.183004,Hallucinated,apertus,4,0.15661083,0.028653715
25.520008,-6.736696,Hallucinated,apertus,4,0.15661083,0.028653715
-11.768604,-0.11111726,Hallucinated,apertus,4,0.15661083,0.028653715
6.8536215,-8.342769,Hallucinated,apertus,4,0.15661083,0.028653715
-31.227846,9.222588,Hallucinated,apertus,4,0.15661083,0.028653715
-8.489702,-3.6665504,Hallucinated,apertus,4,0.15661083,0.028653715
25.399935,3.2770667,Hallucinated,apertus,4,0.15661083,0.028653715
14.791729,6.056964,Hallucinated,apertus,4,0.15661083,0.028653715
-2.7350729,-6.865435,Hallucinated,apertus,4,0.15661083,0.028653715
