_step,train/loss,run_key
0,1.0433732271194458,llama_no_lora
1,0.5217,llama_no_lora
7,1.2010185718536377,llama_no_lora
8,0.6260544657707214,llama_no_lora
9,0.5000324249267578,llama_no_lora
27,0.9261494874954224,llama_no_lora
28,1.0128716230392456,llama_no_lora
33,0.4161,llama_no_lora
41,0.5018395185470581,llama_no_lora
43,0.8839269280433655,llama_no_lora
44,0.4091,llama_no_lora
47,0.47745078802108765,llama_no_lora
60,0.370094895362854,llama_no_lora
61,1.3289198875427246,llama_no_lora
64,0.456815630197525,llama_no_lora
67,0.2369207888841629,llama_no_lora
74,0.8118400573730469,llama_no_lora
77,0.3702,llama_no_lora
78,0.1982884258031845,llama_no_lora
85,0.5205455422401428,llama_no_lora
88,0.3757,llama_no_lora
94,0.5082868933677673,llama_no_lora
99,0.2739,llama_no_lora
102,0.477185994386673,llama_no_lora
104,0.4170997142791748,llama_no_lora
109,0.5253254771232605,llama_no_lora
120,0.7297961711883545,llama_no_lora
124,0.6932827830314636,llama_no_lora
133,0.9279749393463135,llama_no_lora
136,0.47591474652290344,llama_no_lora
143,0.3592,llama_no_lora
147,1.3674367666244507,llama_no_lora
149,0.8151922225952148,llama_no_lora
150,0.9043880105018616,llama_no_lora
155,0.658151388168335,llama_no_lora
157,0.4800511598587036,llama_no_lora
162,0.6232271790504456,llama_no_lora
170,0.600232720375061,llama_no_lora
172,0.6775334477424622,llama_no_lora
174,0.362478107213974,llama_no_lora
180,0.7892734408378601,llama_no_lora
193,0.7476547956466675,llama_no_lora
195,0.7059961557388306,llama_no_lora
198,0.3505,llama_no_lora
203,0.6738969087600708,llama_no_lora
213,0.7265083193778992,llama_no_lora
214,1.0429160594940186,llama_no_lora
215,0.28045547008514404,llama_no_lora
217,0.48439040780067444,llama_no_lora
225,0.7376083135604858,llama_no_lora
228,0.7127164602279663,llama_no_lora
233,0.47996169328689575,llama_no_lora
240,0.14511246979236603,llama_no_lora
241,0.8422324657440186,llama_no_lora
242,0.2201,llama_no_lora
248,0.49196791648864746,llama_no_lora
251,0.39380258321762085,llama_no_lora
259,0.6539734601974487,llama_no_lora
265,0.6015512943267822,llama_no_lora
270,0.7043266892433167,llama_no_lora
272,0.24884891510009766,llama_no_lora
273,0.35201799869537354,llama_no_lora
274,0.34169644117355347,llama_no_lora
279,1.483062982559204,llama_no_lora
282,0.5296894907951355,llama_no_lora
283,0.2577703595161438,llama_no_lora
292,0.2121911495923996,llama_no_lora
302,0.5446186065673828,llama_no_lora
316,0.573032557964325,llama_no_lora
321,0.9866350293159485,llama_no_lora
324,0.5372413992881775,llama_no_lora
327,0.6394338607788086,llama_no_lora
330,0.3321,llama_no_lora
332,1.3968874216079712,llama_no_lora
337,0.6268864274024963,llama_no_lora
340,0.27302998304367065,llama_no_lora
353,0.37474924325942993,llama_no_lora
354,0.6540430784225464,llama_no_lora
358,1.0857014656066895,llama_no_lora
370,0.5088597536087036,llama_no_lora
375,0.29076242446899414,llama_no_lora
396,0.3428,llama_no_lora
398,0.8897907137870789,llama_no_lora
405,0.5059157609939575,llama_no_lora
406,0.6126439571380615,llama_no_lora
407,0.3422,llama_no_lora
421,0.5995582342147827,llama_no_lora
425,0.39121556282043457,llama_no_lora
429,0.2818,llama_no_lora
430,0.6190840005874634,llama_no_lora
441,0.3876945674419403,llama_no_lora
444,0.2599221467971802,llama_no_lora
447,0.5143795013427734,llama_no_lora
450,0.3945562243461609,llama_no_lora
457,0.4456685483455658,llama_no_lora
471,0.41206786036491394,llama_no_lora
472,0.3983599543571472,llama_no_lora
481,0.36981746554374695,llama_no_lora
490,0.3199056386947632,llama_no_lora
495,0.2578,llama_no_lora
497,0.7523088455200195,llama_no_lora
504,0.21334829926490784,llama_no_lora
505,0.6869646310806274,llama_no_lora
515,0.2607614994049072,llama_no_lora
522,0.7202388644218445,llama_no_lora
530,0.4319742023944855,llama_no_lora
531,0.6697157621383667,llama_no_lora
534,0.669295608997345,llama_no_lora
539,0.3646,llama_no_lora
541,0.5918005108833313,llama_no_lora
543,0.5736367702484131,llama_no_lora
547,1.356792688369751,llama_no_lora
548,0.4302426874637604,llama_no_lora
550,0.2846,llama_no_lora
553,0.5228806734085083,llama_no_lora
555,0.40574559569358826,llama_no_lora
559,0.6007640957832336,llama_no_lora
567,0.43736276030540466,llama_no_lora
568,0.9938254952430725,llama_no_lora
570,1.1698992252349854,llama_no_lora
573,0.8863909840583801,llama_no_lora
589,0.5308855175971985,llama_no_lora
593,0.5183817744255066,llama_no_lora
595,0.8498103022575378,llama_no_lora
601,0.4232122600078583,llama_no_lora
612,0.2931128740310669,llama_no_lora
614,0.8059713244438171,llama_no_lora
627,0.3682,llama_no_lora
630,0.5040714144706726,llama_no_lora
636,0.6552319526672363,llama_no_lora
639,0.4996531009674072,llama_no_lora
640,0.4116623103618622,llama_no_lora
647,0.9893869757652283,llama_no_lora
650,0.48062723875045776,llama_no_lora
664,0.2203524261713028,llama_no_lora
671,0.2362,llama_no_lora
680,0.5761951804161072,llama_no_lora
684,0.4295293688774109,llama_no_lora
689,0.7083883881568909,llama_no_lora
692,0.44884011149406433,llama_no_lora
698,0.4397865831851959,llama_no_lora
700,0.45961737632751465,llama_no_lora
702,0.5239746570587158,llama_no_lora
703,0.563159704208374,llama_no_lora
707,0.5444517135620117,llama_no_lora
709,0.5501184463500977,llama_no_lora
721,0.47482141852378845,llama_no_lora
725,1.0612552165985107,llama_no_lora
729,0.5956312417984009,llama_no_lora
730,0.49536412954330444,llama_no_lora
750,0.6874139308929443,llama_no_lora
757,0.34421563148498535,llama_no_lora
762,0.8216525316238403,llama_no_lora
767,0.3895319998264313,llama_no_lora
771,0.42424914240837097,llama_no_lora
773,0.4491778314113617,llama_no_lora
774,1.0438048839569092,llama_no_lora
775,0.5839173793792725,llama_no_lora
780,0.430899441242218,llama_no_lora
788,0.7078722715377808,llama_no_lora
789,0.4055570960044861,llama_no_lora
797,0.4707113206386566,llama_no_lora
806,0.389398455619812,llama_no_lora
809,0.48179060220718384,llama_no_lora
815,0.42856067419052124,llama_no_lora
823,0.6709963083267212,llama_no_lora
830,0.665224552154541,llama_no_lora
839,0.4776836931705475,llama_no_lora
841,0.5446107983589172,llama_no_lora
846,0.4924696683883667,llama_no_lora
863,0.32403355836868286,llama_no_lora
865,2.801586151123047,llama_no_lora
872,0.28534871339797974,llama_no_lora
876,0.47230052947998047,llama_no_lora
880,0.2518,llama_no_lora
882,1.0095163583755493,llama_no_lora
893,0.41337135434150696,llama_no_lora
894,0.549081563949585,llama_no_lora
900,0.4935823380947113,llama_no_lora
916,0.3780960440635681,llama_no_lora
918,0.45760467648506165,llama_no_lora
921,0.6490594744682312,llama_no_lora
922,0.42749881744384766,llama_no_lora
930,0.5312607288360596,llama_no_lora
932,0.3629152774810791,llama_no_lora
938,0.5891319513320923,llama_no_lora
941,0.2665739357471466,llama_no_lora
942,0.6665166616439819,llama_no_lora
948,0.5090053081512451,llama_no_lora
956,0.524114727973938,llama_no_lora
965,0.3849179148674011,llama_no_lora
974,0.539946436882019,llama_no_lora
977,0.413735955953598,llama_no_lora
980,0.4669700264930725,llama_no_lora
981,0.5303504467010498,llama_no_lora
985,0.3678007423877716,llama_no_lora
986,0.6265441179275513,llama_no_lora
992,0.26651790738105774,llama_no_lora
994,0.656064510345459,llama_no_lora
995,0.4704022705554962,llama_no_lora
997,0.3181901276111603,llama_no_lora
1000,0.3848985433578491,llama_no_lora
1004,0.27152377367019653,llama_no_lora
1015,0.46232306957244873,llama_no_lora
1020,0.4119420051574707,llama_no_lora
1031,0.5298471450805664,llama_no_lora
1035,0.870491087436676,llama_no_lora
1038,0.6195436716079712,llama_no_lora
1040,0.4255239963531494,llama_no_lora
1041,0.43325093388557434,llama_no_lora
1042,0.583389937877655,llama_no_lora
1050,0.2826107442378998,llama_no_lora
1053,0.4692690968513489,llama_no_lora
1058,0.3795929551124573,llama_no_lora
1059,0.3917832374572754,llama_no_lora
1068,0.33806586265563965,llama_no_lora
1076,0.7320747971534729,llama_no_lora
1082,0.37851738929748535,llama_no_lora
1083,0.5385234355926514,llama_no_lora
1087,0.21008823812007904,llama_no_lora
1091,0.2966420650482178,llama_no_lora
1093,0.38457608222961426,llama_no_lora
1099,0.5028544664382935,llama_no_lora
1103,0.5312750339508057,llama_no_lora
1106,0.7935547232627869,llama_no_lora
1107,0.5508019328117371,llama_no_lora
1114,0.6026979088783264,llama_no_lora
1115,0.4014970660209656,llama_no_lora
1118,0.3993697762489319,llama_no_lora
1125,0.5811050534248352,llama_no_lora
1133,0.2433,llama_no_lora
1136,0.35656556487083435,llama_no_lora
1139,0.9846218228340149,llama_no_lora
1145,0.25119444727897644,llama_no_lora
