run_id,probe_id,state,created_at,model,layer,seed,metric_key,value,test_model,metric_family,metric
4aryhr4u,llama_no_lora_long_form_layer20_seed43,finished,2026-03-02 14:50:44+00:00,llama,20,43,train/longfact_test_apertus/all_auc,0.876278888033536,apertus,all,auc
v8qejznt,llama_no_lora_long_form_layer20_seed44,finished,2026-03-02 14:50:44+00:00,llama,20,44,train/longfact_test_apertus/all_auc,0.8768084294545108,apertus,all,auc
k5b7gy5e,llama_no_lora_long_form_layer24_seed42,finished,2026-03-02 14:50:44+00:00,llama,24,42,train/longfact_test_apertus/all_auc,0.8698460805580827,apertus,all,auc
jg69cqpj,llama_no_lora_long_form_layer24_seed43,finished,2026-03-02 14:50:44+00:00,llama,24,43,train/longfact_test_apertus/all_auc,0.867118136512977,apertus,all,auc
5o6iy05l,llama_no_lora_long_form_layer24_seed44,finished,2026-03-02 14:50:44+00:00,llama,24,44,train/longfact_test_apertus/all_auc,0.8684091312626383,apertus,all,auc
82vjeyys,llama_no_lora_long_form_layer26_seed42,finished,2026-03-02 14:50:44+00:00,llama,26,42,train/longfact_test_apertus/all_auc,0.8667294677910653,apertus,all,auc
gzg4irhz,llama_no_lora_long_form_layer26_seed43,finished,2026-03-02 14:51:46+00:00,llama,26,43,train/longfact_test_apertus/all_auc,0.8645183115930957,apertus,all,auc
7u7entue,llama_no_lora_long_form_layer26_seed44,finished,2026-03-02 14:51:46+00:00,llama,26,44,train/longfact_test_apertus/all_auc,0.8647245555410542,apertus,all,auc
5zoj6oqm,llama_no_lora_long_form_layer28_seed42,finished,2026-03-02 14:51:46+00:00,llama,28,42,train/longfact_test_apertus/all_auc,0.8620926592117093,apertus,all,auc
22zq4z08,llama_no_lora_long_form_layer28_seed43,finished,2026-03-02 14:51:46+00:00,llama,28,43,train/longfact_test_apertus/all_auc,0.8601345874691433,apertus,all,auc
pbg44l09,llama_no_lora_long_form_layer28_seed44,finished,2026-03-02 14:51:46+00:00,llama,28,44,train/longfact_test_apertus/all_auc,0.8606006059754413,apertus,all,auc
ct7o6ek7,llama_no_lora_long_form_layer30_seed42,finished,2026-03-02 14:51:46+00:00,llama,30,42,train/longfact_test_apertus/all_auc,0.8608810630031158,apertus,all,auc
av9rm02w,llama_no_lora_long_form_layer30_seed43,finished,2026-03-02 14:51:46+00:00,llama,30,43,train/longfact_test_apertus/all_auc,0.8593043208177858,apertus,all,auc
ojujrfsw,llama_no_lora_long_form_layer30_seed44,finished,2026-03-02 14:51:46+00:00,llama,30,44,train/longfact_test_apertus/all_auc,0.8586539142327282,apertus,all,auc
f1osa4x3,apertus_no_lora_long_form_layer4_seed42,finished,2026-03-02 14:54:28+00:00,apertus,4,42,train/longfact_test_apertus/all_f1,0.24094505494505497,apertus,all,f1
k9210t28,apertus_no_lora_long_form_layer4_seed43,finished,2026-03-02 14:54:28+00:00,apertus,4,43,train/longfact_test_apertus/all_f1,0.2444049004174937,apertus,all,f1
4dw0ohsb,apertus_no_lora_long_form_layer4_seed44,finished,2026-03-02 14:54:28+00:00,apertus,4,44,train/longfact_test_apertus/all_f1,0.24310242879296687,apertus,all,f1
