model,silhouette_pca10,linear_probe_auc_pca20,linear_probe_acc_pca20,kmeans_ari_pca20,kmeans_nmi_pca20,fisher_ratio_hidden,centroid_cosine_dist_hidden
apertus,0.06414349999999999,0.8687355,0.79391675,0.09290475,0.083411625,118.720758625,0.00944475
llama,0.0493945,0.874470625,0.798708375,0.060448625000000006,0.046586999999999996,64.838807875,0.04098
