run_id,run_name,selected_id,state,created_at,run_kind,train_model,variant,probe_dtype_tag,layer,seed,probe_dtype,normalize_before_head,probe_dtype_expected,normalize_before_head_expected,train/loss,train/lm_loss,train/kl_loss,metric_key,value,test_model,metric_family,metric
82vjeyys,llama_no_lora_long_form_layer26_seed42,llama_no_lora_long_form_layer26_seed42,finished,2026-03-02 14:50:44+00:00,baseline,llama,llama_baseline,bf16,26,42,bfloat16,,bfloat16,,0.38688111305236816,0.1933574229478836,0.0,train/longfact_test_apertus/all_auc,0.8667294677910653,apertus,all,auc
gzg4irhz,llama_no_lora_long_form_layer26_seed43,llama_no_lora_long_form_layer26_seed43,finished,2026-03-02 14:51:46+00:00,baseline,llama,llama_baseline,bf16,26,43,bfloat16,,bfloat16,,0.6332159042358398,0.1932820975780487,0.0,train/longfact_test_apertus/all_auc,0.8645183115930957,apertus,all,auc
7u7entue,llama_no_lora_long_form_layer26_seed44,llama_no_lora_long_form_layer26_seed44,finished,2026-03-02 14:51:46+00:00,baseline,llama,llama_baseline,bf16,26,44,bfloat16,,bfloat16,,0.4069174230098725,0.12387654185295104,0.0,train/longfact_test_apertus/all_auc,0.8647245555410542,apertus,all,auc
ct7o6ek7,llama_no_lora_long_form_layer30_seed42,llama_no_lora_long_form_layer30_seed42,finished,2026-03-02 14:51:46+00:00,baseline,llama,llama_baseline,bf16,30,42,bfloat16,,bfloat16,,0.4142408668994904,0.1933574229478836,0.0,train/longfact_test_apertus/all_auc,0.8608810630031158,apertus,all,auc
av9rm02w,llama_no_lora_long_form_layer30_seed43,llama_no_lora_long_form_layer30_seed43,finished,2026-03-02 14:51:46+00:00,baseline,llama,llama_baseline,bf16,30,43,bfloat16,,bfloat16,,0.7231071591377258,0.1932820975780487,0.0,train/longfact_test_apertus/all_auc,0.8593043208177858,apertus,all,auc
ojujrfsw,llama_no_lora_long_form_layer30_seed44,llama_no_lora_long_form_layer30_seed44,finished,2026-03-02 14:51:46+00:00,baseline,llama,llama_baseline,bf16,30,44,bfloat16,,bfloat16,,0.4089251160621643,0.12387654185295104,0.0,train/longfact_test_apertus/all_auc,0.8586539142327282,apertus,all,auc
2nr01dsq,apertus_seed_ablation_lora_ln_bf16_layer10_seed42,apertus_seed_ablation_lora_ln_bf16_layer10_seed42,finished,2026-03-17 12:11:57+00:00,final_ablation,apertus,lora_ln,bf16,10,42,bfloat16,,bfloat16,layernorm,0.13314111530780792,0.2443879097700119,0.004553976934403181,train/longfact_test_apertus/all_auc,0.8939669608454629,apertus,all,auc
2b8bb8bi,apertus_seed_ablation_lora_ln_fp32_layer10_seed42,apertus_seed_ablation_lora_ln_fp32_layer10_seed42,finished,2026-03-17 12:12:01+00:00,final_ablation,apertus,lora_ln,fp32,10,42,float32,,float32,layernorm,0.13185696303844452,0.24462579190731049,0.004688996355980635,train/longfact_test_apertus/all_auc,0.8929747481404217,apertus,all,auc
1y5eraro,apertus_seed_ablation_lora_ln_bf16_layer10_seed43,apertus_seed_ablation_lora_ln_bf16_layer10_seed43,finished,2026-03-17 12:11:57+00:00,final_ablation,apertus,lora_ln,bf16,10,43,bfloat16,,bfloat16,layernorm,0.28528884053230286,0.18985004723072052,0.006596417631953955,train/longfact_test_apertus/all_auc,0.8930498594189098,apertus,all,auc
v90aezzb,apertus_seed_ablation_lora_ln_fp32_layer10_seed43,apertus_seed_ablation_lora_ln_fp32_layer10_seed43,finished,2026-03-17 12:12:01+00:00,final_ablation,apertus,lora_ln,fp32,10,43,float32,,float32,layernorm,0.2759507894515991,0.1886921226978302,0.00578434020280838,train/longfact_test_apertus/all_auc,0.8925525478168784,apertus,all,auc
