model,layer,train/longfact_test_apertus/all_auc_mean,train/longfact_test_apertus/all_auc_std,train/longfact_test_apertus/all_f1_mean,train/longfact_test_apertus/all_f1_std,train/longfact_test_apertus/all_acc_mean,train/longfact_test_apertus/all_acc_std,train/longfact_test_apertus/all_recall_at_0.1_fpr_mean,train/longfact_test_apertus/all_recall_at_0.1_fpr_std,train/longfact_test_apertus/span_auc_mean,train/longfact_test_apertus/span_auc_std,train/longfact_test_apertus/span_f1_mean,train/longfact_test_apertus/span_f1_std,train/longfact_test_apertus/span_acc_mean,train/longfact_test_apertus/span_acc_std,train/longfact_test_apertus/span_recall_at_0.1_fpr_mean,train/longfact_test_apertus/span_recall_at_0.1_fpr_std,train/longfact_test_apertus/span_max_auc_mean,train/longfact_test_apertus/span_max_auc_std,train/longfact_test_apertus/span_max_f1_mean,train/longfact_test_apertus/span_max_f1_std,train/longfact_test_apertus/span_max_acc_mean,train/longfact_test_apertus/span_max_acc_std,train/longfact_test_apertus/span_max_recall_at_0.1_fpr_mean,train/longfact_test_apertus/span_max_recall_at_0.1_fpr_std,train/longfact_test_llama/all_auc_mean,train/longfact_test_llama/all_auc_std,train/longfact_test_llama/all_f1_mean,train/longfact_test_llama/all_f1_std,train/longfact_test_llama/all_acc_mean,train/longfact_test_llama/all_acc_std,train/longfact_test_llama/all_recall_at_0.1_fpr_mean,train/longfact_test_llama/all_recall_at_0.1_fpr_std,train/longfact_test_llama/span_auc_mean,train/longfact_test_llama/span_auc_std,train/longfact_test_llama/span_f1_mean,train/longfact_test_llama/span_f1_std,train/longfact_test_llama/span_acc_mean,train/longfact_test_llama/span_acc_std,train/longfact_test_llama/span_recall_at_0.1_fpr_mean,train/longfact_test_llama/span_recall_at_0.1_fpr_std,train/longfact_test_llama/span_max_auc_mean,train/longfact_test_llama/span_max_auc_std,train/longfact_test_llama/span_max_f1_mean,train/longfact_test_llama/span_max_f1_std,train/longfact_test_llama/span_max_acc_mean,train/longfact_test_llama/span_max_acc_std,train/longfact_test_llama/span_max_recall_at_0.1_fpr_mean,train/longfact_test_llama/span_max_recall_at_0.1_fpr_std,final_loss_mean,final_loss_std
apertus,4,0.8304845484811444,0.005786782415480204,0.24281746138517182,0.001747437406866905,,,0.5425381930801766,0.01336460783588718,0.7822735540623498,0.0005625554595432181,0.381943323372048,0.0032794982803202423,,,0.44196115592329804,0.004836070996564314,0.8224476581119516,0.0009468249128519422,0.5464518967408244,0.0012755996298440197,,,0.5350462023890016,0.002657161623293132,0.8186542544132696,0.005348569473683131,0.24572899215117616,0.0030537655860952665,,,0.49711182812622967,0.008830508285147263,0.7769928596833889,0.0008028066569226428,0.448712275390487,0.005064228813328609,,,0.44221295349020223,0.0009523286067462852,0.8089271213048126,0.002214683339543269,0.5752343595066116,0.0029092193063584024,,,0.519466135016891,0.007257762874276539,0.23266186813513437,0.07759754920578951
apertus,10,0.8294702260480159,0.005830425101790064,0.2744720593162634,0.004906108795395689,,,0.5468370813784177,0.00691220158242468,0.8270398142921486,0.002851993593506228,0.48262204575754236,0.045825881371281435,,,0.5336245483470852,0.011007726009182732,0.8692331587892251,0.0011817352808939836,0.6383024366106035,0.012586827457399034,,,0.6297047554654046,0.0033352825303017176,0.8198715612551523,0.006994650573609081,0.26521689586195335,0.006418784235197266,,,0.5120117520526745,0.00871285802653376,0.8166038926093355,0.002403310503392309,0.5376669075740007,0.040325754582763475,,,0.5094200047218069,0.0052506501920521155,0.8579627146030305,0.0006392694344863338,0.6495177112671967,0.009341154549945534,,,0.6010965276624024,0.004072985769108218,0.1832409823934237,0.09247754899839057
apertus,16,0.8066537074748563,0.01284235595637327,0.25651055644296133,0.008872075802866353,,,0.49767721358078904,0.022018165352846873,0.809816486694657,0.005278163973266857,0.452453333777414,0.03523985357021217,,,0.506544633708523,0.014170354892006035,0.867471983917565,0.0030441315735757653,0.6474102394337162,0.007291853893402107,,,0.6284276162572309,0.007627399982869505,0.7987107100265319,0.0076795088118541575,0.2451122597241693,0.004874750330957558,,,0.46985126308333985,0.008088145687655066,0.7999983454911529,0.004778449331979816,0.49168788250666434,0.03378653536243952,,,0.4747724351407361,0.014269324459320687,0.8593302494603372,0.0021888335005006356,0.6594185392474884,0.005357010133970016,,,0.6069668272692031,0.008393524314968502,0.24656631300846735,0.17218238784727521
apertus,20,0.7212986929752572,0.01136618096518063,0.20778209857529994,0.008512764857101856,,,0.40131431961232966,0.016262019387057056,0.7599942326517971,0.006759765596941557,0.37988173325186764,0.017592021922673264,,,0.4282555604348195,0.01035978728643553,0.8481368053574436,0.004332752282501548,0.6206608884979204,0.00794518864446475,,,0.5787694388100069,0.01696779826433962,0.7182684348169494,0.0066199596561605295,0.20643989457055892,0.005796286883879558,,,0.38889850738438136,0.010581066368106322,0.7575762935068879,0.004506875246623419,0.42590597205242364,0.01595196145743276,,,0.41769103643660976,0.005180448381712762,0.839405736496702,0.001953778610878084,0.6410596759166837,0.0019177111288921577,,,0.5660408705765078,0.0070624393775817465,0.473051250524198,0.49005082623013807
apertus,24,0.668673697397525,0.004567233512372734,0.19586458566248643,0.011552174395115505,,,0.3721774100353618,0.011275179987475892,0.723780023332319,0.009020282988706024,0.3432115278542296,0.03857677651234443,,,0.38346391784346806,0.015503072697915536,0.8318108166270476,0.0030355786868397428,0.6125348032694844,0.013796274535378397,,,0.5711817293967395,0.01390477546990853,0.6807333231765851,0.0020024613404082767,0.20582363652150623,0.006452726952833028,,,0.37920831038010544,0.006520711014612746,0.7342117639154205,0.007938867074120235,0.40361845008394764,0.035797704756393434,,,0.3902573384748564,0.00995754077583214,0.8182911694332403,0.0014952186773963497,0.6281834351213421,0.0061791270775480725,,,0.3651215595060087,0.3163860758284506,0.7624432180697719,0.7356348275657936
apertus,26,0.6682465999320165,0.001482882001334705,0.21593170683292054,0.004125846227907436,,,0.383232794816681,0.005185420793237344,0.6734135050034253,0.0014369308128482766,0.3513002564041458,0.006886559653594287,,,0.3828552938729286,0.009594361984245778,0.8166862520888181,0.0008653263438994336,0.606069790645347,0.00566655922845222,,,0.37592968221771467,0.32582697698200475,0.6759161588451793,0.0034973757279508667,0.21918376881915277,0.005791959125976453,,,0.3872143962645261,0.008307761435058953,0.6854316767195345,0.0013867061658598082,0.4057607154965904,0.005296031136159866,,,0.3901104378164266,0.008488932951261099,0.8061606709492164,0.004496159438137876,0.6289977173150897,0.005906952296226987,,,0.0,0.0,1.3730705696701382,2.3588404306517976
apertus,28,0.6600619723287483,0.014429649478434465,0.24978230159491574,0.017615494628449174,,,0.38237763961756843,0.03190579788996461,0.6592037535918268,0.013233222394872934,0.4052322581669978,0.03592850903595557,,,0.38237763961756843,0.03190579788996461,0.7906814381435261,0.007709326763565876,0.617544161505785,0.011263492636627728,,,0.5888363008038464,0.014315168375285599,0.6752238298935622,0.012208829069818494,0.24825132377289874,0.009982754385410715,,,0.43156265575404634,0.02182237953754752,0.6735925853773809,0.011118464988854338,0.46124294090377127,0.03200092046331486,,,0.42946407491933575,0.019956293459100563,0.7914458494112037,0.003907391014628685,0.6376848736761485,0.006109033838608031,,,0.0,0.0,6.114930866907041,5.271711523452775
apertus,30,0.5911833743787809,0.08060491752489002,0.18213376379350368,0.1576619478298406,,,0.20328811026109198,0.18064446599422335,0.588657168232314,0.07869960851733421,0.267970316563199,0.2344410018600978,,,0.20328811026109198,0.18064446599422335,0.6631396865023405,0.1416343719491854,0.40080823361526924,0.34541306513195774,,,0.37495304635264065,0.3249023207741285,0.6064823902519706,0.0930589930754806,0.1828709736895728,0.15792783681633393,,,0.24734923008315626,0.2173950456579271,0.6006431000836552,0.08827920681455041,0.3096795034397734,0.26911783350780394,,,0.24734923008315626,0.2173950456579271,0.6783751910445789,0.1533185724499184,0.42735794542170163,0.36610255509371903,,,0.0011629838843661739,0.0020143471761060214,30.914604641429225,44.60756424131555
llama,4,0.8433525531112194,0.0011480319064846713,0.1723446083526191,0.002098070388787684,,,0.564722214853525,0.0004762618779388567,0.7421739742271819,0.0007800017998422029,0.20460475928640612,0.003386457722699203,,,0.38370869476793024,0.001569451546403499,0.7981583254618383,0.0006560297796458727,0.42193874544822724,0.0016553820154258225,,,0.5002262443438914,0.0019723524631405694,0.8415128994542269,0.0011836092020276866,0.19796414361211256,0.0027819814727952463,,,0.5299451720803983,0.0008737791467548155,0.7444644120623396,0.0013144145920301862,0.25862595362468305,0.005166013708088681,,,0.38390353168669417,0.002270365219594232,0.7921062577625101,0.0009689350847085568,0.486264600575214,0.002159519065417922,,,0.4900143440361911,0.0034013158207653734,0.5811723172664642,0.1669846433524639
llama,10,0.8764854361088948,0.00021127958606941013,0.2646289639406829,0.0027393811326113524,,,0.646435171675907,0.00030973781977587347,0.8251728004679606,0.0006857396840309505,0.3634319536097676,0.006576466317082934,,,0.5291314074506371,0.0015550374509031727,0.8667495767022236,0.0006624680420413124,0.5738762332577086,0.003708154880198483,,,0.6291101055806938,0.00223207369335576,0.8729210299604834,0.00013960653151055298,0.2830041376846917,0.0009515103102399792,,,0.6146131719122513,0.00012653843963044323,0.8272413893915621,0.000978805789711886,0.4386467329284433,0.004950728480536427,,,0.5245764798433831,0.0021739663439153166,0.8659890850627449,0.0007822718992273882,0.6225681998167643,0.003278872534998484,,,0.6180624517268013,0.001253207182125173,0.4515431622664134,0.11586718701792056
