run_id,run_name,probe_id,state,created_at,model,layer,seed,final_loss,train/longfact_test_apertus/all_auc,train/longfact_test_apertus/all_f1,train/longfact_test_apertus/all_acc,train/longfact_test_apertus/all_recall_at_0.1_fpr,train/longfact_test_apertus/span_auc,train/longfact_test_apertus/span_f1,train/longfact_test_apertus/span_acc,train/longfact_test_apertus/span_recall_at_0.1_fpr,train/longfact_test_apertus/span_max_auc,train/longfact_test_apertus/span_max_f1,train/longfact_test_apertus/span_max_acc,train/longfact_test_apertus/span_max_recall_at_0.1_fpr,train/longfact_test_llama/all_auc,train/longfact_test_llama/all_f1,train/longfact_test_llama/all_acc,train/longfact_test_llama/all_recall_at_0.1_fpr,train/longfact_test_llama/span_auc,train/longfact_test_llama/span_f1,train/longfact_test_llama/span_acc,train/longfact_test_llama/span_recall_at_0.1_fpr,train/longfact_test_llama/span_max_auc,train/longfact_test_llama/span_max_f1,train/longfact_test_llama/span_max_acc,train/longfact_test_llama/span_max_recall_at_0.1_fpr
f1osa4x3,apertus_no_lora_long_form_layer4_seed42,apertus_no_lora_long_form_layer4_seed42,finished,2026-03-02 14:54:28+00:00,apertus,4,42,0.301313579082489,0.824844276683227,0.24094505494505497,,0.5276307578524049,0.7820703078522896,0.38416792234642744,,0.43737721589201933,0.8234381504248477,0.5453076612360307,,0.5321162947937795,0.8132476873174145,0.24223019797485823,,0.48749508145116865,0.7776095326928218,0.4494530916604901,,0.441819469583694,0.8114767481358034,0.578584254796333,,0.5274962618375145
k9210t28,apertus_no_lora_long_form_layer4_seed43,apertus_no_lora_long_form_layer4_seed43,finished,2026-03-02 14:54:28+00:00,apertus,4,43,0.24820169806480408,0.8364074817080516,0.2444049004174937,,0.5534471999445305,0.7818408674457445,0.3781770686246823,,0.4414912057688308,0.8223532500140358,0.5478272568276604,,0.5357223349109759,0.8239428753846929,0.24709850275807724,,0.5048555914063115,0.7760851198687242,0.443318441440932,,0.44152042181474777,0.8078236979749966,0.5733421375341949,,0.513374314670211
4dw0ohsb,apertus_no_lora_long_form_layer4_seed44,apertus_no_lora_long_form_layer4_seed44,finished,2026-03-02 14:54:28+00:00,apertus,4,44,0.14847032725811005,0.8302018870521545,0.24310242879296687,,0.5465366214435944,0.7829094868890152,0.3834849791450344,,0.44701504610904386,0.8215515738969719,0.546220772158782,,0.5372999774622492,0.8187722005377012,0.24785827572059305,,0.4989848115212088,0.777283926488621,0.45336529307003887,,0.443298969072165,0.8074809178036376,0.5737766861893067,,0.5175278285429473
2msk68xv,apertus_no_lora_long_form_layer10_seed42,apertus_no_lora_long_form_layer10_seed42,finished,2026-03-02 14:54:28+00:00,apertus,10,42,0.1188635155558586,0.8349790136283437,0.2715897169678682,,0.5489403009221808,0.823749663399917,0.43322694729578193,,0.5209513023782559,0.8682490590818475,0.6256711838404501,,0.6258733378408835,0.8250763870485456,0.2697534880358563,,0.5157472259384591,0.8139533745830329,0.4938731842897636,,0.5034862674116629,0.8574751331855613,0.6395668767196236,,0.5969430137896661
ennpfi5c,apertus_no_lora_long_form_layer10_seed43,apertus_no_lora_long_form_layer10_seed43,finished,2026-03-02 14:55:28+00:00,apertus,10,43,0.2892115116119385,0.8300675186115706,0.2801368522126616,,0.5524533709293457,0.828807559160539,0.49088473601672766,,0.5408047703792729,0.8689065761865797,0.6383917626869331,,0.631282398016678,0.8226177442482394,0.26802455186734664,,0.5182340442275911,0.8186411677879629,0.5458616221819124,,0.5113087274730463,0.8577265431456805,0.6508885707066453,,0.6012626682173119
ckfvtpqq,apertus_no_lora_long_form_layer10_seed44,apertus_no_lora_long_form_layer10_seed44,finished,2026-03-02 14:55:28+00:00,apertus,10,44,0.14164792001247406,0.8233641459041334,0.2716896087682604,,0.5391175722837266,0.8285622203159897,0.5237544539601175,,0.5391175722837266,0.8705438410992483,0.6508443633044272,,0.6319585305386523,0.811920552468672,0.25787264768265716,,0.5020539859919729,0.8172171354570108,0.5732659162503261,,0.5134650192807114,0.8586864674778496,0.6580976863753213,,0.6050839009802292
98q6shel,apertus_no_lora_long_form_layer16_seed42,apertus_no_lora_long_form_layer16_seed42,finished,2026-03-02 14:55:28+00:00,apertus,16,42,0.06563707441091537,0.8111111057510365,0.25900254330717254,,0.5059745302424481,0.8041037960987285,0.4123811675559186,,0.4931009776504033,0.8652983266435131,0.6396084517130237,,0.6200135226504395,0.803281166690218,0.25057888791107286,,0.47587943653104586,0.7945729866432071,0.4528463629493441,,0.45836153301329974,0.8577912704681282,0.6543710197667687,,0.6002658248878551
92fyxrb6,apertus_no_lora_long_form_layer16_seed43,apertus_no_lora_long_form_layer16_seed43,finished,2026-03-02 14:55:28+00:00,apertus,16,43,0.40841183066368103,0.8166734697489529,0.26387015596853475,,0.5143411838121432,0.8145120953084858,0.4786142352844594,,0.5213442115237941,0.8709511226470459,0.6540534342391927,,0.6348884381338742,0.8030063668939131,0.24354091507471537,,0.473014873691666,0.8018405715582125,0.5142760135386052,,0.4842527740615409,0.8618360136579415,0.6650389855871466,,0.6163814587140721
i19xd1q5,apertus_no_lora_long_form_layer16_seed44,apertus_no_lora_long_form_layer16_seed44,finished,2026-03-02 14:56:24+00:00,apertus,16,44,0.26565003395080566,0.7921765469245796,0.2466589700531766,,0.4727159266877759,0.8108335686767565,0.466364598491864,,0.5051887119513717,0.8661665024621359,0.6485688323489323,,0.6303808879873789,0.7898445964954643,0.24121697618671972,,0.4606594790273078,0.8035814782720387,0.5079412710320437,,0.4817029983473676,0.8583634642549417,0.65884561238855,,0.604253198205682
5w54hojz,apertus_no_lora_long_form_layer20_seed42,apertus_no_lora_long_form_layer20_seed42,finished,2026-03-02 14:56:24+00:00,apertus,20,42,0.002515794476494193,0.7216130788305651,0.20019447800335916,,0.3927935840247764,0.7579270098229404,0.36343211725687385,,0.42318626204728776,0.844264785180656,0.6130918262065803,,0.5715573585756142,0.7152865479674657,0.20142013178822996,,0.37936570394270874,0.7533504252780392,0.4108404977637708,,0.4119776501141103,0.8388654097938774,0.6432152805411858,,0.5658747300215983
