layer,delta_silhouette_pca10,delta_linear_probe_auc_pca20,delta_linear_probe_acc_pca20,delta_kmeans_ari_pca20,delta_kmeans_nmi_pca20,delta_fisher_ratio_hidden,delta_centroid_cosine_dist_hidden
4,-0.012048,-0.013153000000000081,-0.007166000000000006,-0.019022,-0.014566,-0.5549730000000039,-0.03998
10,0.004118999999999998,-0.0002889999999999837,-0.0061669999999999225,-0.14885500000000002,-0.111341,40.11384400000001,-0.04217
16,0.017275000000000006,-0.005724000000000062,-0.003722000000000003,0.09370400000000001,0.071535,58.428224,-0.03653
20,0.010606999999999991,0.0016599999999999948,-0.000500000000000056,0.142033,0.10599299999999999,29.616133000000005,-0.043068999999999996
24,0.020325000000000003,-0.006016000000000021,-0.009333000000000036,0.05068399999999999,0.065798,63.265112999999985,-0.032236
26,0.022760999999999997,-0.011186999999999947,-0.010167000000000037,0.040551,0.05645800000000001,64.632372,-0.025379000000000002
28,0.020257999999999998,-0.0016199999999999548,0.0033330000000000304,0.061523999999999995,0.069035,63.46980599999999,-0.019281
30,0.034695,-0.009551999999999894,-0.004610999999999921,0.039029999999999995,0.051685,112.085087,-0.013637
