run_id,run_name,selected_id,state,created_at,run_kind,train_model,variant,probe_dtype_tag,layer,seed,probe_dtype,normalize_before_head,probe_dtype_expected,normalize_before_head_expected,train/loss,train/lm_loss,train/kl_loss,train/longfact_test_apertus/all_auc,train/longfact_test_apertus/all_f1,train/longfact_test_apertus/all_acc,train/longfact_test_apertus/all_recall_at_0.1_fpr,train/longfact_test_apertus/span_auc,train/longfact_test_apertus/span_f1,train/longfact_test_apertus/span_acc,train/longfact_test_apertus/span_recall_at_0.1_fpr,train/longfact_test_apertus/span_max_auc,train/longfact_test_apertus/span_max_f1,train/longfact_test_apertus/span_max_acc,train/longfact_test_apertus/span_max_recall_at_0.1_fpr,train/longfact_test_llama/all_auc,train/longfact_test_llama/all_f1,train/longfact_test_llama/all_acc,train/longfact_test_llama/all_recall_at_0.1_fpr,train/longfact_test_llama/span_auc,train/longfact_test_llama/span_f1,train/longfact_test_llama/span_acc,train/longfact_test_llama/span_recall_at_0.1_fpr,train/longfact_test_llama/span_max_auc,train/longfact_test_llama/span_max_f1,train/longfact_test_llama/span_max_acc,train/longfact_test_llama/span_max_recall_at_0.1_fpr
h8dsgkcj,apertus_seed_ablation_no_lora_no_ln_bf16_layer26_seed43,apertus_seed_ablation_no_lora_no_ln_bf16_layer26_seed43,finished,2026-03-17 12:11:58+00:00,final_ablation,apertus,no_lora_no_ln,bf16,26,43,bfloat16,,bfloat16,none,0.8889634609222412,0.1830067932605743,0.0,0.6537804831641234,0.18648177464280705,,0.3540804770379273,0.7129196862936675,0.3352305475504323,,0.35983544040492754,0.8151832693853178,0.6009399934419062,,0.5418075276087446,0.6595467937613035,0.18719024018299657,,0.34817029983473674,0.7225506324339263,0.3800086776035742,,0.36480679940190447,0.8085448598651948,0.6164841849148418,,0.0
jj2cibiy,apertus_seed_ablation_no_lora_no_ln_fp32_layer26_seed43,apertus_seed_ablation_no_lora_no_ln_fp32_layer26_seed43,finished,2026-03-17 12:11:58+00:00,final_ablation,apertus,no_lora_no_ln,fp32,26,43,float32,,float32,none,0.8669692873954773,0.1830067932605743,0.0,0.6500170734729246,0.1824367105587929,,0.349874037950401,0.7125780134273174,0.31223597693127136,,0.3580326807959877,0.8253531923922091,0.6014772351449674,,0.5485688528284877,0.6561919789273618,0.18283507722969605,,0.3389627764224443,0.7229711406848479,0.3540322483387402,,0.35769261037223576,0.8179584035694539,0.6191596111633741,,0.531317494600432
b7j334x1,apertus_seed_ablation_no_lora_no_ln_bf16_layer26_seed44,apertus_seed_ablation_no_lora_no_ln_bf16_layer26_seed44,finished,2026-03-17 12:11:58+00:00,final_ablation,apertus,no_lora_no_ln,bf16,26,44,bfloat16,,bfloat16,none,0.036498356610536575,0.21715889871120453,0.0,0.6626346641429318,0.1841087565605146,,0.3636489703469157,0.7168003508120429,0.335261569416499,,0.36769362331569094,0.8200712264267516,0.5993287864025116,,0.5343700698670273,0.6677604296240146,0.18682350279929877,,0.35067285748012905,0.7240262016924911,0.38602928288481986,,0.36411426772645,0.8060864985250744,0.6168490481187229,,0.5173616879880378
13eyy2a9,apertus_seed_ablation_no_lora_no_ln_fp32_layer26_seed44,apertus_seed_ablation_no_lora_no_ln_fp32_layer26_seed44,finished,2026-03-17 12:12:01+00:00,final_ablation,apertus,no_lora_no_ln,fp32,26,44,float32,,float32,none,0.3009534478187561,0.21715889871120453,0.0,0.6526065175197676,0.17938080495356035,,0.35010516097718813,0.7116846503578669,0.31745625890345913,,0.3574086486236624,0.8214190565504077,0.5935669282635128,,0.5379761099842236,0.6592211631236271,0.18429190610694457,,0.34141811599905564,0.7175982194197961,0.36188677440948647,,0.3514126072243645,0.8113206506021162,0.613894608403874,,0.5336434623691643
kxz8lyht,apertus_seed_ablation_no_lora_no_ln_bf16_layer30_seed42,apertus_seed_ablation_no_lora_no_ln_bf16_layer30_seed42,finished,2026-03-17 12:11:58+00:00,final_ablation,apertus,no_lora_no_ln,bf16,30,42,bfloat16,,bfloat16,none,0.02281774953007698,0.23546640574932096,0.0,0.6568489028126566,0.19332297348080887,,0.3552360921718631,0.6742017982716455,0.3423873938696215,,0.3632791735040562,0.8031101308651782,0.5908269317668323,,0.0,0.6647050450126557,0.19994172793802595,,0.36017942866136776,0.6862870413798037,0.40347236632773054,,0.37144880774376327,0.7930667552019962,0.6158042275929995,,0.0
td3wegxt,apertus_seed_ablation_no_lora_no_ln_fp32_layer30_seed42,apertus_seed_ablation_no_lora_no_ln_fp32_layer30_seed42,finished,2026-03-17 12:12:01+00:00,final_ablation,apertus,no_lora_no_ln,fp32,30,42,float32,,float32,none,0.024663830175995827,0.23546640574932096,0.0,0.6434898644786848,0.1774970535397572,,0.3334874153511914,0.6653817375440307,0.2911957950065703,,0.3427554487253565,0.8097365766612449,0.5781934414585059,,0.5244534595447374,0.650529105892472,0.18770128092369345,,0.338994255134965,0.6775881443512525,0.3454764541924804,,0.3502951129298812,0.805851734036557,0.6119283658458586,,0.5372985545771722
g3gtxsx1,apertus_seed_ablation_no_lora_no_ln_bf16_layer30_seed43,apertus_seed_ablation_no_lora_no_ln_bf16_layer30_seed43,finished,2026-03-17 12:11:58+00:00,final_ablation,apertus,no_lora_no_ln,bf16,30,43,bfloat16,,bfloat16,none,4.753108978271484,0.1830067932605743,0.0,0.6561279903486708,0.1994557253506385,,0.35387246631381886,0.6688845828523254,0.34358659983412065,,0.3675087248942612,0.8028149515689029,0.5967943617142207,,0.0,0.6663782316862505,0.2074126652919112,,0.36669552215314394,0.682264966989495,0.39586107023567607,,0.376265050759424,0.7996318761480434,0.619885785809278,,0.0
l9k7tdgn,apertus_seed_ablation_no_lora_no_ln_fp32_layer30_seed43,apertus_seed_ablation_no_lora_no_ln_fp32_layer30_seed43,finished,2026-03-17 12:12:01+00:00,final_ablation,apertus,no_lora_no_ln,fp32,30,43,float32,,float32,none,5.0271196365356445,0.1830067932605743,0.0,0.652014014302082,0.19448779025907592,,0.3455058127441237,0.672083774345048,0.3392091128654338,,0.3561143596736543,0.8178945000593091,0.6026766125493638,,0.558034708136128,0.6605423846012766,0.20250359221645844,,0.3547965688203352,0.6845642882229193,0.38895125830292826,,0.3644447942079169,0.8117905697469785,0.6292816004849955,,0.0
liowq2kh,apertus_seed_ablation_no_lora_no_ln_bf16_layer30_seed44,apertus_seed_ablation_no_lora_no_ln_bf16_layer30_seed44,finished,2026-03-17 12:11:58+00:00,final_ablation,apertus,no_lora_no_ln,bf16,30,44,bfloat16,,bfloat16,none,1.9064021110534668,0.21715889871120453,0.0,0.651817260223411,0.2004659513529688,,0.35172302216469825,0.667289143177962,0.3390571903694599,,0.3625395798183373,0.8012471590398731,0.5907049842837898,,0.0,0.6603292669653711,0.2038359144286283,,0.3581647910600456,0.6757504466805154,0.3804723740276909,,0.3602581254426694,0.7953304937357998,0.6168021680216802,,0.0
ai760bia,apertus_seed_ablation_no_lora_no_ln_fp32_layer30_seed44,apertus_seed_ablation_no_lora_no_ln_fp32_layer30_seed44,finished,2026-03-17 12:12:01+00:00,final_ablation,apertus,no_lora_no_ln,fp32,30,44,float32,,float32,none,0.00013759722060058266,0.21715889871120453,0.0,0.6374743289082542,0.1832629847611121,,0.32965077310652463,0.6659490711872056,0.33368814158653415,,0.35098342847897934,0.8075648717162348,0.59043250327654,,0.5372999774622492,0.6446092185870561,0.18829371104006287,,0.332871645549697,0.67250495513019,0.372710773799703,,0.34245691351223734,0.7958524166782417,0.6084373143196673,,0.0
