run_id,probe_id,state,created_at,train_model,variant,layer,seed,lr,probe_dtype,normalize_before_head,final_loss,metric_key,value,test_model,metric_family,metric
ymsrn4r6,apertus_no_lora_bf16_only_layer20_seed42_lr1em4,finished,2026-03-16 01:21:44+00:00,apertus,bf16_only,20,42,1e-4,bfloat16,none,0.04400371387600899,train/longfact_test_apertus/all_auc,0.7180075507745518,apertus,all,auc
uy0gdnv4,apertus_no_lora_bf16_only_layer20_seed42_lr3em4,finished,2026-03-16 01:21:44+00:00,apertus,bf16_only,20,42,3e-4,bfloat16,none,0.00907330308109522,train/longfact_test_apertus/all_auc,0.7339007410034845,apertus,all,auc
fu81gp5i,apertus_no_lora_bf16_only_layer20_seed42_lr3em5,finished,2026-03-16 01:21:44+00:00,apertus,bf16_only,20,42,3e-5,bfloat16,none,2.1262459754943848,train/longfact_test_apertus/all_auc,0.6264446004589165,apertus,all,auc
2g6rw2bt,apertus_no_lora_bf16_only_layer20_seed43_lr1em3,finished,2026-03-16 01:21:44+00:00,apertus,bf16_only,20,43,1e-3,bfloat16,none,0.5826413631439209,train/longfact_test_apertus/all_auc,0.7355764801963002,apertus,all,auc
7ynpw2cn,apertus_no_lora_bf16_only_layer20_seed43_lr1em4,finished,2026-03-16 01:21:44+00:00,apertus,bf16_only,20,43,1e-4,bfloat16,none,1.368619084358215,train/longfact_test_apertus/all_auc,0.7199341722545447,apertus,all,auc
900ivg46,apertus_no_lora_bf16_only_layer20_seed43_lr3em4,finished,2026-03-16 01:21:44+00:00,apertus,bf16_only,20,43,3e-4,bfloat16,none,0.40857547521591187,train/longfact_test_apertus/all_auc,0.7363455037798762,apertus,all,auc
qo5cb98m,apertus_no_lora_bf16_only_layer20_seed43_lr3em5,finished,2026-03-16 01:21:44+00:00,apertus,bf16_only,20,43,3e-5,bfloat16,none,6.096769332885742,train/longfact_test_apertus/all_auc,0.6281700472685064,apertus,all,auc
99kvtmj8,apertus_no_lora_bf16_only_layer20_seed44_lr1em3,finished,2026-03-16 01:21:44+00:00,apertus,bf16_only,20,44,1e-3,bfloat16,none,0.13294142484664917,train/longfact_test_apertus/all_auc,0.7125403346580952,apertus,all,auc
g1itgrow,apertus_no_lora_bf16_only_layer20_seed44_lr1em4,finished,2026-03-16 01:21:44+00:00,apertus,bf16_only,20,44,1e-4,bfloat16,none,4.639030521502718e-05,train/longfact_test_apertus/all_auc,0.724560495219876,apertus,all,auc
vuc2g8id,apertus_no_lora_bf16_only_layer20_seed44_lr3em4,finished,2026-03-16 01:21:44+00:00,apertus,bf16_only,20,44,3e-4,bfloat16,none,0.2754364609718323,train/longfact_test_apertus/all_auc,0.7283883573904615,apertus,all,auc
v52uwh1g,apertus_no_lora_bf16_only_layer20_seed44_lr3em5,finished,2026-03-16 01:21:44+00:00,apertus,bf16_only,20,44,3e-5,bfloat16,none,23.12533187866211,train/longfact_test_apertus/all_auc,0.6249126445433069,apertus,all,auc
vz5jn274,apertus_no_lora_bf16_only_layer26_seed42_lr1em3,finished,2026-03-16 01:21:44+00:00,apertus,bf16_only,26,42,1e-3,bfloat16,none,0.023973966017365456,train/longfact_test_apertus/all_auc,0.6630812156812712,apertus,all,auc
